"BehaviorSpace results (NetLogo 5.2.0)"
"marcs.nlogo"
"b1s"
"03/30/2559 22:40:18:108 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","sum-correctness / floor(ticks / update-ticks)"
"26","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"27","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"28","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"30","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"31","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"29","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"32","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"33","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"34","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"35","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"37","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"36","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"38","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"39","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"40","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"41","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"42","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"43","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"44","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"45","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"46","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"48","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"50","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"49","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"51","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"47","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"52","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"53","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"54","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"55","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"56","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"57","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"58","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"60","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"61","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"59","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"62","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"63","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"64","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"66","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"67","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"65","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"68","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"70","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"69","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"71","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"72","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"73","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"74","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"75","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"76","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"77","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"79","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"80","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"78","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"81","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"82","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"83","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"84","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"85","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"86","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"87","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"89","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"90","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"91","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"92","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"88","0","100","100","""3. perfect""","""normal""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
