"BehaviorSpace results (NetLogo 5.3)"
"marcs_dday.nlogo"
"mvhard2precision"
"04/19/2559 23:20:42:119 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","start-cut","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","max-count-send","[step]","length filter [? != 0] [workers-type] of workers with [color = red] / count workers with [color = red]"
"39","39","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.4666666666666667"
"40","40","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.4"
"41","41","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.6"
"42","42","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.4"
"43","43","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.5333333333333333"
"45","45","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.4666666666666667"
"44","44","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.3333333333333333"
"46","46","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.5333333333333333"
"47","47","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.4666666666666667"
"48","48","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.4"
"49","49","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.3333333333333333"
"50","50","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.3333333333333333"
"51","51","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.4666666666666667"
"52","52","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.3333333333333333"
"54","54","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.6"
"53","53","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.26666666666666666"
"55","55","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.5333333333333333"
"56","56","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.4"
"57","57","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.5333333333333333"
"58","58","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.6"
"59","59","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.26666666666666666"
"60","60","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.26666666666666666"
"61","61","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.4666666666666667"
"63","63","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.5333333333333333"
"62","62","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.6666666666666666"
"64","64","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.4"
"65","65","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.4666666666666667"
"66","66","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.7333333333333333"
"67","67","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.6666666666666666"
"68","68","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.6"
"69","69","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.5333333333333333"
"70","70","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.26666666666666666"
"71","71","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.3333333333333333"
"72","72","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.4666666666666667"
"74","74","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.5333333333333333"
"73","73","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.5333333333333333"
"75","75","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.8"
"76","76","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.4666666666666667"
"77","77","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.6666666666666666"
"78","78","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.5333333333333333"
"79","79","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.3333333333333333"
"80","80","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.6"
"81","81","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.5333333333333333"
"83","83","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.4666666666666667"
"82","82","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.5333333333333333"
"84","84","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.6666666666666666"
"85","85","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.7333333333333333"
"86","86","5","100","100","""3. perfect""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1","1441","0.7333333333333333"
