"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday.nlogo"
"emsoft2recall"
"04/21/2559 09:42:43:213 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","start-cut","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","max-count-send","[step]","length filter [? != 0] [workers-type] of workers with [color = red] / count workers with [workers-type != 0]"
"88","88","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.17045454545454544"
"86","86","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.1744186046511628"
"87","87","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.1724137931034483"
"92","92","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.16304347826086957"
"91","91","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.16483516483516483"
"93","93","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.16129032258064516"
"90","90","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.16666666666666666"
"95","95","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.15789473684210525"
"96","96","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.15625"
"94","94","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.1595744680851064"
"97","97","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13402061855670103"
"98","98","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.15306122448979592"
"100","100","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.15"
"99","99","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.1414141414141414"
