"BehaviorSpace results (NetLogo 5.2.0)"
"marcs.nlogo"
"a3.2"
"03/29/2559 20:45:42:573 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","sum-correctness / floor(ticks / update-ticks)"
"48","47","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"49","48","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"50","49","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"51","50","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"52","51","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"53","52","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"54","53","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"56","55","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"57","56","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"58","57","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"59","58","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"55","54","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"60","59","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"61","60","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"62","61","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"63","62","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"64","63","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"65","64","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"68","67","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"66","65","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"69","68","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"70","69","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"67","66","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"71","70","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"72","71","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"73","72","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"74","73","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"75","74","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"76","75","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"77","76","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"79","78","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"80","79","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
