"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday.nlogo"
"mvhard12morecut"
"04/23/2559 22:26:14:928 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","cut-workers-per-round","start-cut","adversaries-rate","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","show-penalty?","max-count-send","[step]","sum-correctness / floor(ticks / update-ticks)"
"41","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","52.083333333333336"
"40","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","45.833333333333336"
"42","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","47.916666666666664"
"44","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","58.333333333333336"
"43","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","47.916666666666664"
"39","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","47.916666666666664"
"45","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","58.333333333333336"
"46","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","47.916666666666664"
"47","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","56.25"
"48","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","50"
"50","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","31.25"
"49","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","56.25"
"51","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","50"
"53","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","60.416666666666664"
"54","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","45.833333333333336"
"52","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","43.75"
"55","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","58.333333333333336"
"56","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","64.58333333333333"
"57","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","52.083333333333336"
"58","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","56.25"
"59","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","50"
"60","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","58.333333333333336"
"61","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","37.5"
"62","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","56.25"
"63","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","50"
"65","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","47.916666666666664"
"64","1","3","60","100","100","""1. fixed : normal""","""random""","1","1","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","false","1","1441","41.666666666666664"
