"BehaviorSpace results (NetLogo 5.2.0)"
"marcs.nlogo"
"result3"
"03/18/2559 18:39:05:504 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","use-cut-worker-by-penalty?","area.x","area.y","adversaries-rate","workers-probability","number-workers","adversaries-type","problem-label","label-level","data-fusion","reputation-algorithm","cut-workers-per-round","show-penalty?","[step]","sum-correctness / floor(ticks / update-ticks)"
"44","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.66666666666667"
"43","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.625"
"45","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.16666666666667"
"46","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","95.125"
"47","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","93.83333333333333"
"48","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.625"
"50","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","93.45833333333333"
"51","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.125"
"52","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.95833333333333"
"49","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","93.97916666666667"
"53","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.22916666666667"
"54","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.0625"
"55","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.14436026936028"
"56","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","95.14583333333333"
"58","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.5"
"59","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","95.02083333333333"
"57","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.52083333333333"
"60","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.29166666666667"
"62","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94"
"61","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.16666666666667"
"63","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","95.08333333333333"
"64","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.5625"
"65","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.79166666666667"
"66","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.4375"
"67","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.27083333333333"
"68","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.45833333333333"
"69","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.72916666666667"
"70","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.1875"
"72","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","93.41666666666667"
"71","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.02083333333333"
"73","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.02083333333333"
"74","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","93.70833333333333"
"75","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","93.83333333333333"
"77","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.3125"
"76","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.75"
"78","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.52083333333333"
"79","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.125"
"80","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","93.66666666666667"
"81","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.8125"
"83","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","93.25"
"82","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.45833333333333"
"84","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.41666666666667"
"86","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.4375"
"87","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","93.58333333333333"
"85","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","95.54166666666667"
"88","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","93.9375"
"89","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.9375"
"90","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.875"
"91","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.33333333333333"
"92","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.6875"
"93","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","95.20833333333333"
"94","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.64583333333333"
"96","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.58333333333333"
"95","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.95833333333333"
"97","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","95.125"
"98","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","93.47916666666667"
"99","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.75"
"100","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","93.66666666666667"
"102","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.45833333333333"
"101","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","93.9375"
"105","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.33333333333333"
"103","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.22916666666667"
"106","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.75"
"104","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.64583333333333"
"107","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.41666666666667"
"108","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.54166666666667"
"109","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","93.83333333333333"
"110","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.5625"
"111","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","93.60416666666667"
"112","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.60416666666667"
"113","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.625"
"115","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","93.95833333333333"
"114","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.16666666666667"
"116","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.70833333333333"
"117","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.39583333333333"
"118","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.5"
"119","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.0625"
"121","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.22916666666667"
"120","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.625"
"122","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.85416666666667"
