BehaviorSpace results (NetLogo 5.2.0),,,,,,,,,,,,,,,
marcs_kill2.nlogo,,,,,,,,,,,,,,,
a1,,,,,,,,,,,,,,,
04/10/2559 21:40:41:293 +0700,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,
-20,20,-20,20,,,,,,,,,,,,
[run number],adversaries-rate,number-workers,workers-probability,adversaries-type,problem-label,area.x,area.y,label-level,data-fusion,reputation-algorithm,use-cut-worker-by-penalty?,cut-workers-per-round,show-penalty?,[step],sum-correctness / floor(ticks / update-ticks)
74,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
75,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
73,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
76,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
77,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
78,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
79,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
80,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
82,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
81,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
83,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
84,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
85,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
86,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
88,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
89,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
90,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
87,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
92,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
91,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
93,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
94,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
95,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
96,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
97,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
99,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
98,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
100,0,100,100,"""1. fixed : flood""","""random""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
