"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday.nlogo"
"mvhard2dday2"
"04/18/2559 15:31:50:068 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","max-count-send","start-cut","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","length filter [? != 0] [workers-type] of workers with [color = red] / count workers with [color = red]"
"6","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"5","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"4","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"7","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"3","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"2","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"8","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"1","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"10","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"9","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"11","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"12","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"15","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"14","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"13","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"16","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"17","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"18","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
"19","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"21","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"20","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
"22","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"23","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"24","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
"25","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
"26","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"28","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"27","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","1"
"29","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"30","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"31","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"33","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"32","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"36","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"35","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"34","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"37","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"38","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"39","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"40","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"42","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"44","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"45","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"43","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
"47","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
"46","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"41","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"48","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
"49","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"50","15","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"53","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"51","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"54","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
"52","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
"55","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
"56","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"57","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
"58","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"59","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"62","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
"61","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"60","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","1"
"63","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"64","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
"65","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"66","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"67","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"68","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","1"
"69","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","1"
"70","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"71","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"72","20","5","5","100","100","""2. random""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
