"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday.nlogo"
"mvsoft3dday3"
"04/18/2559 14:10:58:645 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","max-count-send","adversaries-rate","start-cut","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","sum-correctness / floor(ticks / update-ticks)"
"110","4","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","99.16666666666667"
"111","4","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"112","4","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"113","4","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"115","4","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"114","4","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"117","4","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"116","4","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","99.10416666666667"
"118","4","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"119","4","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"120","4","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"121","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"122","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"123","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"124","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"125","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"127","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"126","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"129","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","97.33333333333333"
"128","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"130","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"131","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"132","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"133","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"134","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"136","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"135","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"137","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","99.39583333333333"
"138","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"139","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"140","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","99.02083333333333"
"141","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"142","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"143","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"145","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"144","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"146","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"148","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","99.5625"
"147","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"149","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"150","5","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"151","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"152","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"153","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"154","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","99.0625"
"157","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"155","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"156","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"158","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"159","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"160","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"161","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","99.79166666666667"
"162","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"163","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"164","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"166","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","99.66666666666667"
"165","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"167","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"168","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"169","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"170","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"172","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","98.27083333333333"
"171","6","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
