"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday (3).nlogo"
"mv2"
"04/25/2559 14:39:03:996 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","max-count-send","adversaries-rate","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","show-penalty?","cut-workers-per-round","start-cut","[step]","sum-correctness / floor(ticks / update-ticks)"
"41","1","25","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","89.33333333333333"
"42","1","25","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","88.16666666666667"
"43","1","25","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","90"
"44","1","25","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","89.08333333333333"
"45","1","25","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","88.33333333333333"
"47","1","25","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","88.74652777777777"
"48","1","25","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","89.16666666666667"
"46","1","25","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","89.33333333333333"
"49","1","25","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","89.91666666666667"
"51","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","71"
"50","1","25","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","89.66666666666667"
"52","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","71.1423611111111"
"53","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","68.83333333333333"
"54","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","70.58333333333333"
"55","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","69.41666666666667"
"57","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","70.33333333333333"
"56","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","68.89583333333333"
"58","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","71.14930555555556"
"59","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","70.25"
"60","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","70.08333333333333"
"62","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","70.83333333333333"
"63","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","71.28260869565217"
"61","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","71"
"64","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","69.66666666666667"
