"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday.nlogo"
"mvhard11dday2"
"04/18/2559 15:45:13:976 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","max-count-send","start-cut","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","length filter [? != 0] [workers-type] of workers with [color = red] / count workers with [color = red]"
"36","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"41","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"40","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"43","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"44","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"42","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"46","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6"
"47","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"45","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"48","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"50","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"51","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.4666666666666667"
"52","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"49","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"53","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"55","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"54","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"56","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6"
"57","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"59","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"58","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"61","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6"
"62","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"63","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"60","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6"
"64","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"65","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"67","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"66","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"68","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"69","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"70","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6"
"71","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6"
"72","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"73","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"74","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6"
"76","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"75","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6"
"78","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"77","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"79","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"80","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"81","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6"
"84","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6"
"82","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"83","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6"
"85","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"86","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"88","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6"
"87","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"89","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6"
"90","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"92","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"91","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.4666666666666667"
"94","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.4"
"93","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"95","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"97","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"100","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"98","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"99","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.4"
"101","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.4666666666666667"
"96","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"102","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6"
"103","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.4666666666666667"
"104","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"105","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"107","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.4666666666666667"
"106","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"110","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6"
"108","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"109","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"111","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.4666666666666667"
"112","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"115","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"113","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"114","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"116","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"117","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"118","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"119","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6"
"120","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"121","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"122","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6"
"123","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6"
"125","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"124","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"126","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"127","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"128","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"129","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.4"
"130","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"131","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6"
"132","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"133","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.4666666666666667"
"134","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"135","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"136","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"138","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"137","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"139","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"141","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"140","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"143","25","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
