"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday.nlogo"
"mvhard3dday2"
"04/18/2559 05:07:56:407 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","max-count-send","start-cut","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","length filter [? != 0] [workers-type] of workers with [color = red] / count workers with [color = red]"
"1","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"4","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
"2","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"3","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"6","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"7","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"5","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"8","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"9","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"11","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
"10","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"12","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"14","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6"
"13","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"15","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"16","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"17","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"18","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"19","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"20","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"21","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"22","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"23","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"24","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
"25","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"26","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"27","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"28","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"30","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"29","15","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"31","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6"
"33","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"32","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"34","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
"35","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"38","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"36","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"37","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"39","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
"41","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"40","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"43","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"42","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.5333333333333333"
"44","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"46","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","1"
"45","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"47","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"48","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
"49","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
"50","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8666666666666667"
"51","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
"53","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.7333333333333333"
"52","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.9333333333333333"
"54","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.8"
"55","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Hard Penalty""","true","1","false","1441","0.6666666666666666"
