"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday.nlogo"
"mvsoft3area"
"04/25/2559 18:19:25:453 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","max-count-send","adversaries-rate","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","show-penalty?","cut-workers-per-round","start-cut","[step]","sum-correctness / floor(ticks / update-ticks)"
"41","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","91.07291666666667"
"40","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","90.22101449275362"
"42","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","90.99305555555556"
"43","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","91.08333333333333"
"44","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","90.83333333333333"
"46","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","89.31884057971014"
"45","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","91.75"
"48","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","91.99305555555556"
"49","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","92.33333333333333"
"50","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","92.33333333333333"
"51","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","93.41666666666667"
"52","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","89.08333333333333"
"53","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","90.66666666666667"
"54","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","90.25"
"47","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","92.33333333333333"
"55","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","91.9782608695652"
"56","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","91.5"
"57","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","90.66666666666667"
"58","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","91.83333333333333"
"59","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","89.75"
"60","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","89.41666666666667"
"61","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","90.16666666666667"
"63","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","93.06944444444444"
"62","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","90.40972222222223"
"65","1","25","100","100","""3. perfect""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","false","1","3","1441","90.83333333333333"
