"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday.nlogo"
"mvsoft3dday2"
"04/18/2559 05:05:43:728 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","max-count-send","start-cut","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","length filter [? != 0] [workers-type] of workers with [color = red] / count workers with [color = red]"
"54","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","1"
"56","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","1"
"55","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.7333333333333333"
"57","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8"
"58","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8666666666666667"
"59","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.9333333333333333"
"60","20","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.9333333333333333"
"61","25","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8"
"62","25","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8"
"63","25","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.6"
"66","25","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8666666666666667"
"65","25","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8"
"67","25","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","1"
"68","25","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8666666666666667"
"69","25","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.6666666666666666"
"70","25","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.7333333333333333"
