"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_kill2.nlogo"
"mvsoft3ratio"
"04/17/2559 13:43:03:684 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","start-cut","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","sum-correctkill / (end-cut - start-cut)"
"8","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"5","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"3","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"4","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"6","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"2","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"7","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"1","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"11","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"12","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"10","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"13","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"9","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"14","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"15","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"20","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"17","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"18","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"22","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"16","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"21","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"23","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"19","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"24","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"25","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"27","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"26","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"29","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"30","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"28","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"31","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"33","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"32","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"36","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"35","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"34","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"37","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"39","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"38","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"40","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"41","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"42","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"43","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
"44","0","5","100","100","""3. perfect""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0"
