"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday.nlogo"
"mvsoft11dday2"
"04/18/2559 15:55:38:352 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","max-count-send","start-cut","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","length filter [? != 0] [workers-type] of workers with [color = red] / count workers with [color = red]"
"39","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8"
"40","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.9333333333333333"
"41","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","1"
"42","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8"
"43","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","1"
"45","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8"
"46","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8"
"47","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.9333333333333333"
"48","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.9333333333333333"
"49","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.6666666666666666"
"50","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8666666666666667"
"51","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.9333333333333333"
"52","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.6666666666666666"
"53","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.9333333333333333"
"54","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8666666666666667"
"55","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.9333333333333333"
"56","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","1"
"57","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.9333333333333333"
"58","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8"
"60","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.9333333333333333"
"61","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8"
"62","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8"
"59","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.7333333333333333"
"63","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8666666666666667"
"64","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.7333333333333333"
"65","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.9333333333333333"
"66","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.9333333333333333"
"67","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.7333333333333333"
"68","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","1"
"69","20","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.9333333333333333"
