"BehaviorSpace results (NetLogo 5.2.0)"
"marcs.nlogo"
"b0"
"03/29/2559 22:47:58:327 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","workers-probability","number-workers","adversaries-type","adversaries-rate","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","sum-correctness / floor(ticks / update-ticks)"
"49","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","54.333333333333336"
"48","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","53"
"50","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","55.583333333333336"
"51","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","55.583333333333336"
"52","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","54.25"
"53","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","55.583333333333336"
"46","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","54.083333333333336"
"54","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","55"
"55","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","54.75"
"57","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","55.166666666666664"
"56","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","51.75"
"58","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","53.583333333333336"
"59","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","56.75"
"60","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","55.583333333333336"
"62","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","55.416666666666664"
"63","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","56.083333333333336"
"61","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","55.333333333333336"
"64","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","52.75"
"65","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","54.833333333333336"
"66","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","54.666666666666664"
"67","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","52.083333333333336"
"68","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","54.166666666666664"
"69","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","54.75"
"70","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","55.25"
"72","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","55.75"
"73","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","54"
"74","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","53.583333333333336"
"71","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","54.75"
"75","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","54.333333333333336"
"76","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","55.083333333333336"
"77","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","53.333333333333336"
"78","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","55.5"
"79","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","55.583333333333336"
"81","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","57.166666666666664"
"80","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","54"
"83","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","55.666666666666664"
"85","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","54.25"
"84","50","100","""3. perfect""","0","""normal""","5","5","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","54.166666666666664"
